kind,series_name,series_imdb_id,season,episode,original_air_date,original_air_year,rating,votes,runtime,is_comedy,is_drama
movie,An Easy Girl,9632590,,,13 Aug 2020 (USA),2020,5.5,1519,92,1,1
movie,The Week Of,6821012,,,27 Apr 2018 (USA),2018,5.1,17594,116,1,0
movie,Murder Mystery,1618434,,,14 Jun 2019 (USA),2019,6,94014,97,1,0
movie,Sextuplets,8976710,,,16 Aug 2019 (USA),2019,4.4,6784,97,1,0
movie,The Kissing Booth,3799232,,,11 May 2018 (USA),2018,6,60140,105,1,0
movie,#REALITYHIGH,6119504,,,08 Sep 2017 (USA),2017,5.2,5332,99,1,1
tv movie,Dragons: Rescue Riders: Secrets of the Songwing,12599350,,,24 Jul 2020 (USA),2020,6.7,56,46,1,0
movie,Jeff Dunham: Relative Disaster,7364706,,,12 Sep 2017 (USA),2017,6.4,1082,70,1,0
movie,Jo Koy: Comin' in Hot,10377036,,,12 Jun 2019 (USA),2019,7.3,692,60,1,0
movie,Extraction,8936646,,,24 Apr 2020 (USA),2020,6.7,138881,116,0,0
movie,To All the Boys I've Loved Before,3846674,,,17 Aug 2018 (USA),2018,7.1,81270,99,1,1
movie,The Ridiculous 6,2479478,,,11 Dec 2015 (USA),2015,4.8,42748,119,1,0
movie,Someone Great,8075260,,,19 Apr 2019 (USA),2019,6.2,16338,92,1,0
episode,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,4294938,,,19-Dec-14,2014,7.2,1742,25,1,1
movie,The Irishman,1302006,,,27 Nov 2019 (USA),2019,7.9,302221,209,0,1
movie,George Lopez: We'll Do It for Half,12358794,,,30 Jun 2020 (USA),2020,5.4,304,51,1,0
movie,Bill Burr: Paper Tiger,10847306,,,10 Sep 2019 (USA),2019,8.2,7864,67,1,0
movie,Eurovision Song Contest: The Story of Fire Saga,8580274,,,26 Jun 2020 (USA),2020,6.5,58572,123,1,0
movie,Tom Segura: Ball Hog,11861072,,,24 Mar 2020 (USA),2020,7.3,1667,70,1,0
movie,Rich in Love,10329566,,,30 Apr 2020 (Brazil),2020,5.8,1588,104,1,0
movie,Always Be My Maybe,7374948,,,31 May 2019 (USA),2019,6.8,42888,101,1,0
movie,Kevin Hart: Irresponsible,10009796,,,02 Apr 2019 (USA),2019,6.5,3356,60,1,0
tv movie,Black Mirror: Bandersnatch,9495224,,,28 Dec 2018 (USA),2018,7.2,109213,90,0,1
movie,MILF,7205316,,,16 Jul 2020 (USA),2020,4.7,3116,101,1,0
movie,"Rob Schneider: Asian Momma, Mexican Kids",12724632,,,11 Aug 2020 (USA),2020,5.3,275,44,1,0
movie,Coffee & Kareem,9898858,,,03 Apr 2020 (USA),2020,5.1,10462,88,1,0
movie,DJ Cinderella,8716800,,,28 Feb 2019 (Brazil),2019,4.4,539,95,0,0
movie,Como Caído Del Cielo,10946934,,,24 Dec 2019 (USA),2019,6.3,1051,112,1,1
movie,Bert Kreischer: Secret Time,8786466,,,24 Aug 2018 (Singapore),2018,7.4,1783,57,1,0
movie,The Package,7525778,,,10 Aug 2018 (USA),2018,5.5,13263,94,1,0
movie,Fatal Affair,11057594,,,16 Jul 2020 (USA),2020,4.4,3592,89,0,1
movie,Wine Country,8169446,,,10 May 2019 (USA),2019,5.4,17689,103,1,0
movie,Dumplin',4878482,,,07 Dec 2018 (USA),2018,6.6,26971,110,1,1
movie,Next Gen,7133686,,,07 Sep 2018 (USA),2018,6.6,13299,106,1,0
tv movie,Invader ZIM: Enter the Florpus,6739094,,,16 Aug 2019 (USA),2019,7.5,4509,71,1,0
movie,Klaus,4729430,,,15 Nov 2019 (USA),2019,8.2,73926,96,1,0
movie,Set It Up,5304992,,,15 Jun 2018 (USA),2018,6.5,39872,105,1,0
movie,Sugar High,12806000,,,31 Jul 2020 (USA),2020,7.9,36,,0,0
movie,John Mulaney: Kid Gorgeous at Radio City,8271714,,,01 May 2018 (USA),2018,7.9,5576,65,1,0
movie,The Laundromat,5865326,,,27 Sep 2019 (USA),2019,6.3,40480,95,1,1
movie,Sierra Burgess Is a Loser,3120280,,,07 Sep 2018 (USA),2018,5.8,33268,105,1,1
movie,The Babysitter,4225622,,,13 Oct 2017 (USA),2017,6.3,59067,85,1,0
movie,Octonauts and the Caves of Sac Actun,12759408,,,14 Aug 2020 (USA),2020,6.5,22,72,1,0
movie,Jeff Dunham: Beside Himself,10847194,,,24 Sep 2019 (USA),2019,6.8,799,58,1,0
movie,The Ballad of Buster Scruggs,6412452,,,09 Nov 2018 (USA),2018,7.3,114315,133,1,1
movie,A Fall from Grace,11390036,,,17 Jan 2020 (USA),2020,5.8,9931,115,0,1
movie,The Main Event,10540242,,,10 Apr 2020 (USA),2020,4.7,1589,101,1,0
movie,Sam Jay: 3 in the Morning,12689876,,,04 Aug 2020 (USA),2020,6,185,64,1,0
movie,Fearless,8675288,,,14 Aug 2020 (USA),2020,4.8,195,89,1,0
movie,Can You Hear Me?,11019806,,,,,,,6,0,1
movie,Connected,7979580,,,23 Oct 2020 (USA),2020,,,,1,0
movie,The Last Summer,7957694,,,03 May 2019 (USA),2019,5.6,10277,109,1,0
movie,The Do-Over,4769836,,,27 May 2016 (USA),2016,5.7,38615,108,1,0
movie,The Old Guard,7556122,,,10 Jul 2020 (USA),2020,6.7,88515,125,0,0
movie,Falling Inn Love,9860728,,,29 Aug 2019 (USA),2019,5.6,13971,98,1,0
movie,Little Evil,2937366,,,01 Sep 2017 (USA),2017,5.7,18112,94,1,0
movie,"Game Over, Man!",3317234,,,23 Mar 2018 (USA),2018,5.4,25077,101,1,0
movie,I Lost My Body,9806192,,,15 Nov 2019 (USA),2019,7.6,23661,81,0,1
movie,Seriously Single,11010144,,,31 Jul 2020 (USA),2020,4.2,638,107,1,0
episode,We Wish You a Metal Christmas,9416906,,,20-Dec-18,2018,7.5,200,22,1,1
movie,Bonding,8333266,,,25 Feb 2019 (Canada),2019,,,16,0,1
movie,Katt Williams: Great America,7752054,,,16 Jan 2018 (USA),2018,6.1,817,60,1,0
