"series_name","series_num","season","episode","rating","votes","runtime","is_comedy","is_drama","rating_miss"
"1994",2,1,1,8,33,251,0,0,8
"1994",2,1,2,8.1,28,251,0,0,8.1
"1994",2,1,3,8.3,23,251,0,0,8.3
"1994",2,1,4,7.9,19,251,0,0,7.9
"1994",2,1,5,8,18,251,0,0,8
"3%",3,1,1,7.6,845,49,0,1,NA
"3%",3,1,2,7.9,736,47,0,1,NA
"3%",3,1,3,7.7,685,42,0,1,NA
"3%",3,1,4,8.5,743,48,0,1,NA
"3%",3,1,5,7.5,681,45,0,1,NA
"3Below: Tales of Arcadia",4,1,1,7.1,177,23,1,0,7.1
"3Below: Tales of Arcadia",4,1,2,7.7,164,24,1,0,7.7
"72 Dangerous Animals - Asia",5,1,1,6.8,44,45,0,0,6.8
"72 Dangerous Animals - Asia",5,1,2,6.9,31,46,0,0,6.9
"72 Dangerous Animals - Asia",5,1,3,6.6,25,48,0,0,6.6
"72 Dangerous Animals - Asia",5,1,4,6.7,25,48,0,0,6.7
"72 Dangerous Animals - Asia",5,1,5,6.8,27,44,0,0,6.8
"72 Dangerous Animals - Asia",5,1,6,6.6,24,47,0,0,6.6
"72 Dangerous Animals - Asia",5,1,7,6.6,23,46,0,0,6.6
"72 Dangerous Animals - Asia",5,1,8,6.3,22,44,0,0,6.3
"72 Dangerous Animals - Asia",5,1,9,6.5,21,55,0,0,6.5
"72 Dangerous Animals - Asia",5,1,10,6.5,21,45,0,0,6.5
"72 Dangerous Animals - Asia",5,1,11,6.5,20,47,0,0,6.5
"72 Dangerous Animals - Asia",5,1,12,6.9,23,45,0,0,6.9
"A Series of Unfortunate Events",6,1,1,7.7,2568,49,1,1,NA
"A Series of Unfortunate Events",6,1,2,8,2008,64,1,1,NA
"A Series of Unfortunate Events",6,1,3,8.2,1819,48,1,1,NA
"A Series of Unfortunate Events",6,1,4,8.2,1714,43,1,1,NA
"A Series of Unfortunate Events",6,1,5,7.7,1598,42,1,1,NA
"A Series of Unfortunate Events",6,1,6,7.8,1545,53,1,1,NA
"A Series of Unfortunate Events",6,1,7,8.2,1594,44,1,1,NA
"A Series of Unfortunate Events",6,1,8,8.4,1602,47,1,1,NA
"A Series of Unfortunate Events",6,2,1,8,1094,46,1,1,8
"A Series of Unfortunate Events",6,2,2,8,989,52,1,1,8
"A Series of Unfortunate Events",6,2,3,8.2,945,52,1,1,8.2
"A Series of Unfortunate Events",6,2,4,8.1,906,41,1,1,8.1
"A Series of Unfortunate Events",6,2,5,7.8,858,48,1,1,7.8
"A Series of Unfortunate Events",6,2,6,8,857,41,1,1,8
"A Series of Unfortunate Events",6,2,7,8.4,869,44,1,1,8.4
"A Series of Unfortunate Events",6,2,8,8.3,842,40,1,1,8.3
"A Series of Unfortunate Events",6,2,9,8.5,847,46,1,1,8.5
"A Series of Unfortunate Events",6,2,10,8.5,857,42,1,1,8.5
"A Series of Unfortunate Events",6,3,1,8.1,817,44,1,1,8.1
"A Series of Unfortunate Events",6,3,2,8.1,700,44,1,1,8.1
"A Series of Unfortunate Events",6,3,3,7.7,683,44,1,1,7.7
"A Series of Unfortunate Events",6,3,4,7.9,665,36,1,1,7.9
"A Series of Unfortunate Events",6,3,5,8.7,764,55,1,1,8.7
"A Series of Unfortunate Events",6,3,6,8.8,768,52,1,1,8.8
"A Series of Unfortunate Events",6,3,7,8.6,901,52,1,1,8.6
"Abyss",7,1,1,7.2,21,66,1,0,7.2
"Abyss",7,1,2,7.2,16,65,1,0,7.2
"Ad Vitam",8,1,1,6.7,86,55,0,1,6.7
"Ad Vitam",8,1,2,6.8,73,53,0,1,6.8
"Ad Vitam",8,1,3,6.8,59,49,0,1,6.8
"Ad Vitam",8,1,4,6.8,57,52,0,1,6.8
"Ad Vitam",8,1,5,6.9,57,47,0,1,6.9
"Ad Vitam",8,1,6,6.9,50,54,0,1,6.9
"After Life",9,1,1,7.8,2406,28,1,1,7.8
"After Life",9,1,2,8.1,2186,25,1,1,8.1
"After Life",9,1,3,8.1,2048,27,1,1,8.1
"After Life",9,1,4,8.4,2071,27,1,1,8.4
"After Life",9,1,5,8.6,2108,31,1,1,8.6
"After Life",9,1,6,8.7,2202,27,1,1,8.7
"After Life",9,2,1,8,1572,27,1,1,8
"After Life",9,2,2,8,1406,27,1,1,8
"After Life",9,2,3,8.1,1350,31,1,1,8.1
"After Life",9,2,4,8.3,1315,26,1,1,8.3
"After Life",9,2,5,8.5,1366,28,1,1,8.5
"After Life",9,2,6,9,1815,30,1,1,9
"Aggretsuko",10,1,1,7.3,217,15,1,1,7.3
"Aggretsuko",10,1,2,7.4,175,15,1,1,7.4
"Aggretsuko",10,1,3,7.4,161,15,1,1,7.4
"Aggretsuko",10,1,4,7.5,151,15,1,1,7.5
"Aggretsuko",10,1,5,7.9,154,15,1,1,7.9
"Aggretsuko",10,1,6,7.4,138,15,1,1,7.4
