kind,series_name,series_imdb_id,season,episode,rating,votes,runtime,is_comedy,is_drama,rating_miss
tv series,Pokémon,168366,3,21,6.7,126,22,1,0,NA
tv series,Pokémon,168366,3,22,6.7,124,22,1,0,6.7
tv series,Pokémon,168366,3,23,6.8,121,22,1,0,6.8
tv series,Pokémon,168366,3,24,7.4,120,22,1,0,7.4
tv series,Pokémon,168366,3,25,7.4,127,22,1,0,7.4
tv series,Pokémon,168366,3,26,6.9,121,22,1,0,6.9
tv series,Pokémon,168366,3,27,6.8,120,22,1,0,6.8
tv series,Pokémon,168366,3,28,7.5,121,22,1,0,7.5
tv series,Pokémon,168366,3,29,6.4,125,22,1,0,6.4
tv series,Pokémon,168366,3,30,7.3,122,22,1,0,7.3
tv series,Pokémon,168366,3,31,7.2,124,22,1,0,7.2
tv series,Pokémon,168366,3,32,6.3,118,22,1,0,6.3
tv series,Pokémon,168366,3,33,6.5,117,22,1,0,NA
tv series,Pokémon,168366,3,34,7,114,22,1,0,7
tv series,Pokémon,168366,3,35,7.6,124,22,1,0,NA
tv series,Pokémon,168366,3,36,7,119,22,1,0,7
tv series,Pokémon,168366,3,37,6.6,123,22,1,0,6.6
tv series,Pokémon,168366,3,38,7.2,117,22,1,0,7.2
tv series,Pokémon,168366,3,39,7.1,118,22,1,0,7.1
tv series,Pokémon,168366,3,40,6.8,114,22,1,0,6.8
tv series,Pokémon,168366,3,41,7.1,115,22,1,0,7.1
tv series,Pokémon,168366,4,1,7.2,112,22,1,0,7.2
tv series,Pokémon,168366,4,2,7.2,109,22,1,0,7.2
tv series,Pokémon,168366,4,3,6.7,104,22,1,0,6.7
tv series,Pokémon,168366,4,4,6.9,103,22,1,0,NA
tv series,Pokémon,168366,4,5,7,103,22,1,0,7
tv series,Pokémon,168366,4,6,6.8,104,22,1,0,6.8
tv series,Pokémon,168366,4,7,6.6,104,22,1,0,6.6
tv series,Pokémon,168366,4,8,6.7,105,22,1,0,6.7
tv series,Pokémon,168366,4,9,6.7,102,22,1,0,6.7
tv series,Pokémon,168366,4,10,6.9,106,22,1,0,6.9
tv series,Pokémon,168366,4,11,6.8,104,22,1,0,NA
tv series,Pokémon,168366,4,12,6.5,106,22,1,0,6.5
tv series,Pokémon,168366,4,13,6.8,102,22,1,0,NA
tv series,Pokémon,168366,4,14,7.1,104,22,1,0,7.1
tv series,Pokémon,168366,4,15,6.5,103,22,1,0,NA
tv series,Pokémon,168366,4,16,6.8,104,22,1,0,6.8
tv series,Pokémon,168366,4,17,7,101,22,1,0,7
tv series,Pokémon,168366,4,18,6.7,99,22,1,0,6.7
tv series,Pokémon,168366,4,19,6.7,102,22,1,0,6.7
tv series,Pokémon,168366,4,20,6.3,102,22,1,0,6.3
tv series,Pokémon,168366,4,21,6.9,102,22,1,0,6.9
tv series,Pokémon,168366,4,22,6.9,106,22,1,0,6.9
tv series,Pokémon,168366,4,23,6.9,105,22,1,0,6.9
tv series,Pokémon,168366,4,24,7.2,100,22,1,0,7.2
tv series,Pokémon,168366,4,25,7.6,98,22,1,0,7.6
tv series,Pokémon,168366,4,26,7.1,98,22,1,0,7.1
tv series,Pokémon,168366,4,27,6.7,94,22,1,0,6.7
tv series,Pokémon,168366,4,28,7.1,93,22,1,0,7.1
tv series,Pokémon,168366,4,29,7.1,95,22,1,0,NA
tv series,Pokémon,168366,4,30,7,93,22,1,0,7
tv series,Pokémon,168366,4,31,6.9,93,22,1,0,6.9
tv series,Pokémon,168366,4,32,7.4,96,22,1,0,7.4
tv series,Pokémon,168366,4,33,6.9,92,22,1,0,NA
tv series,Pokémon,168366,4,34,6.3,95,22,1,0,6.3
tv series,Pokémon,168366,4,35,7,95,22,1,0,7
tv series,Pokémon,168366,4,37,7.3,93,22,1,0,7.3
tv series,Pokémon,168366,4,38,7.1,95,22,1,0,7.1
tv series,Pokémon,168366,4,39,7.1,92,22,1,0,7.1
tv series,Pokémon,168366,4,40,6.6,90,22,1,0,6.6
tv series,Pokémon,168366,4,41,7.3,94,22,1,0,7.3
tv series,Pokémon,168366,4,42,7.2,93,22,1,0,NA
tv series,Pokémon,168366,4,43,6.8,92,22,1,0,6.8
tv series,Pokémon,168366,4,44,6.6,89,22,1,0,6.6
tv series,Pokémon,168366,4,45,6.6,90,22,1,0,6.6
tv series,Pokémon,168366,4,46,6.7,89,22,1,0,6.7
tv series,Pokémon,168366,4,47,6.8,92,22,1,0,6.8
tv series,Pokémon,168366,4,48,6.7,92,22,1,0,6.7
tv series,Pokémon,168366,4,49,6.8,89,22,1,0,6.8
tv series,Pokémon,168366,4,50,6.6,90,22,1,0,6.6
tv series,Pokémon,168366,4,51,7,89,22,1,0,NA
tv series,Pokémon,168366,4,52,7.3,92,22,1,0,7.3
tv series,Pokémon,168366,5,1,7,85,22,1,0,NA
tv series,Pokémon,168366,5,2,7,87,22,1,0,7
tv series,Pokémon,168366,5,3,6.7,82,22,1,0,6.7
tv series,Pokémon,168366,5,4,6.6,85,22,1,0,6.6
tv series,Pokémon,168366,5,5,6.5,83,22,1,0,6.5
tv series,Pokémon,168366,5,6,6.6,83,22,1,0,6.6
tv series,Pokémon,168366,5,7,7.1,85,22,1,0,7.1
tv series,Pokémon,168366,5,8,7.3,82,22,1,0,7.3
tv series,Pokémon,168366,5,9,6.5,81,22,1,0,6.5
tv series,Pokémon,168366,5,10,6.5,83,22,1,0,6.5
tv series,Pokémon,168366,5,11,7.2,86,22,1,0,7.2
tv series,Pokémon,168366,5,12,7.2,84,22,1,0,7.2
tv series,Pokémon,168366,5,13,7.3,82,22,1,0,7.3
tv series,Pokémon,168366,5,14,6.6,83,22,1,0,NA
tv series,Pokémon,168366,5,15,7.4,80,22,1,0,7.4
tv series,Pokémon,168366,5,16,7.5,85,22,1,0,7.5
tv series,Pokémon,168366,5,17,6.8,79,22,1,0,6.8
tv series,Pokémon,168366,5,18,7.4,78,22,1,0,7.4
tv series,Pokémon,168366,5,19,7.2,79,22,1,0,7.2
tv series,Pokémon,168366,5,20,7.1,78,22,1,0,7.1
tv series,Pokémon,168366,5,21,7.3,79,22,1,0,7.3
tv series,Pokémon,168366,5,22,7,80,22,1,0,NA
tv series,Pokémon,168366,5,23,7.1,83,22,1,0,7.1
tv series,Pokémon,168366,5,24,6.7,79,22,1,0,6.7
tv series,Pokémon,168366,5,25,6.5,78,22,1,0,NA
tv series,Pokémon,168366,5,26,6.9,76,22,1,0,6.9
tv series,Pokémon,168366,5,27,7.3,79,22,1,0,7.3
tv series,Pokémon,168366,5,28,7,80,22,1,0,7
tv series,Pokémon,168366,5,29,7.1,79,22,1,0,NA
tv series,Pokémon,168366,5,30,6.3,77,22,1,0,6.3
tv series,Pokémon,168366,5,31,6.6,77,22,1,0,6.6
tv series,Pokémon,168366,5,32,6.6,77,22,1,0,6.6
tv series,Pokémon,168366,5,33,6.6,83,22,1,0,6.6
tv series,Pokémon,168366,5,34,6.2,82,22,1,0,6.2
tv series,Pokémon,168366,5,35,6.3,76,22,1,0,6.3
tv series,Pokémon,168366,5,36,6.2,78,22,1,0,6.2
tv series,Pokémon,168366,5,37,6.4,78,22,1,0,NA
tv series,Pokémon,168366,5,38,6.7,74,22,1,0,6.7
tv series,Pokémon,168366,5,39,6.8,76,22,1,0,6.8
tv series,Pokémon,168366,5,40,6.5,75,22,1,0,6.5
tv series,Pokémon,168366,5,42,6.6,76,22,1,0,6.6
tv series,Pokémon,168366,5,43,7.1,78,22,1,0,NA
tv series,Pokémon,168366,5,44,7.7,79,22,1,0,7.7
tv series,Pokémon,168366,5,45,7.8,82,22,1,0,7.8
tv series,Pokémon,168366,5,46,6.7,73,22,1,0,6.7
tv series,Pokémon,168366,5,47,6.8,80,22,1,0,6.8
tv series,Pokémon,168366,5,48,7.1,75,22,1,0,7.1
tv series,Pokémon,168366,5,49,6.9,74,22,1,0,6.9
tv series,Pokémon,168366,5,50,6.8,81,22,1,0,6.8
tv series,Pokémon,168366,5,51,6.6,75,22,1,0,6.6
tv series,Pokémon,168366,5,52,6.8,76,22,1,0,6.8
tv series,Pokémon,168366,5,53,6.8,77,22,1,0,6.8
tv series,Pokémon,168366,5,54,6.8,81,22,1,0,6.8
tv series,Pokémon,168366,5,55,6.8,83,22,1,0,6.8
tv series,Pokémon,168366,5,56,6.7,81,22,1,0,6.7
tv series,Pokémon,168366,5,57,7.2,75,22,1,0,7.2
tv series,Pokémon,168366,5,58,7.6,80,22,1,0,7.6
tv series,Pokémon,168366,5,59,7.5,77,22,1,0,7.5
tv series,Pokémon,168366,5,60,7.9,90,22,1,0,7.9
tv series,Pokémon,168366,5,61,8.3,101,22,1,0,8.3
tv series,Pokémon,168366,5,62,7.8,89,22,1,0,7.8
tv series,Pokémon,168366,5,63,7.7,84,22,1,0,NA
tv series,Pokémon,168366,5,64,8.3,117,22,1,0,8.3
tv series,Pokémon,168366,5,65,7.2,88,22,1,0,7.2
tv series,Pokémon,168366,6,1,7.3,82,22,1,0,7.3
tv series,Pokémon,168366,6,2,6.7,81,22,1,0,6.7
tv series,Pokémon,168366,6,3,6.7,79,22,1,0,6.7
tv series,Pokémon,168366,6,4,7.2,79,22,1,0,7.2
tv series,Pokémon,168366,6,5,6.4,76,22,1,0,6.4
tv series,Pokémon,168366,6,6,7.4,83,22,1,0,7.4
tv series,Pokémon,168366,6,7,7.1,73,22,1,0,7.1
tv series,Pokémon,168366,6,8,7,71,22,1,0,NA
tv series,Pokémon,168366,6,9,6.5,71,22,1,0,6.5
tv series,Pokémon,168366,6,10,6.5,64,22,1,0,6.5
tv series,Pokémon,168366,6,11,6.5,67,22,1,0,NA
tv series,Pokémon,168366,6,12,6.9,68,22,1,0,6.9
tv series,Pokémon,168366,6,13,6.5,69,22,1,0,6.5
tv series,Pokémon,168366,6,14,6.7,67,22,1,0,NA
tv series,Pokémon,168366,6,15,6.4,70,22,1,0,6.4
tv series,Pokémon,168366,6,16,6.8,71,22,1,0,NA
tv series,Pokémon,168366,6,17,6.2,68,22,1,0,6.2
tv series,Pokémon,168366,6,18,6.4,66,22,1,0,6.4
tv series,Pokémon,168366,6,19,6.3,67,22,1,0,6.3
tv series,Pokémon,168366,6,20,6.6,72,22,1,0,NA
tv series,Pokémon,168366,6,21,6.4,68,22,1,0,NA
tv series,Pokémon,168366,6,22,7,64,22,1,0,7
tv series,Pokémon,168366,6,23,6.7,68,22,1,0,6.7
tv series,Pokémon,168366,6,24,6.4,68,22,1,0,6.4
tv series,Pokémon,168366,6,25,6.8,69,22,1,0,6.8
tv series,Pokémon,168366,6,26,6.6,68,22,1,0,NA
tv series,Pokémon,168366,6,27,6.5,69,22,1,0,6.5
tv series,Pokémon,168366,6,28,6.5,69,22,1,0,6.5
tv series,Pokémon,168366,6,29,6.5,68,22,1,0,6.5
tv series,Pokémon,168366,6,30,6.7,69,22,1,0,6.7
tv series,Pokémon,168366,6,31,7.2,66,22,1,0,7.2
tv series,Pokémon,168366,6,32,6.6,69,22,1,0,6.6
tv series,Pokémon,168366,6,33,6.5,70,22,1,0,6.5
tv series,Pokémon,168366,6,34,7,64,22,1,0,7
tv series,Pokémon,168366,6,35,6.8,67,22,1,0,6.8
tv series,Pokémon,168366,6,36,6.4,68,22,1,0,6.4
tv series,Pokémon,168366,6,37,6.6,66,22,1,0,6.6
tv series,Pokémon,168366,6,38,7,68,22,1,0,7
tv series,Pokémon,168366,6,39,6.6,69,22,1,0,6.6
tv series,Pokémon,168366,6,40,7.1,70,22,1,0,7.1
